"source","target","value","size"
"cell growth","ADAM10",4.31,"10"
"cell growth","NRP2",4.31,"10"
"cell growth","CLSTN1",4.31,"10"
"cell growth","APP",4.31,"10"
"cell growth","SERPINE2",4.31,"10"
"cell growth","IGFBP4",4.31,"10"
"cell growth","IGFBP5",4.31,"10"
"cell growth","SPOCK1",4.31,"10"
"cell growth","IGFBP7",4.31,"10"
"cell growth","EXT1",4.31,"10"
"cell growth","IGFBPL1",4.31,"10"
"cell growth","SFRP2",4.31,"10"
"neuromuscular process controlling balance","TPP1",4.29,"10"
"neuromuscular process controlling balance","HEXA",4.29,"10"
"neuromuscular process controlling balance","APP",4.29,"10"
"neuromuscular process controlling balance","HEXB",4.29,"10"
"neuromuscular process controlling balance","GM2A",4.29,"10"
"response to mechanical stimulus","COL1A1",4.25,"10"
"response to mechanical stimulus","SERPINE2",4.25,"10"
"response to mechanical stimulus","THBS1",4.25,"10"
"response to mechanical stimulus","MMP2",4.25,"10"
"response to mechanical stimulus","CSF1",4.25,"10"
"response to mechanical stimulus","COL11A1",4.25,"10"
"response to mechanical stimulus","IGFBP2",4.25,"10"
"response to mechanical stimulus","CDH2",4.25,"10"
"response to mechanical stimulus","DAG1",4.25,"10"
"respiratory system development","CTSH",4.25,"10"
"respiratory system development","LIPA",4.25,"10"
"respiratory system development","RBP4",4.25,"10"
"respiratory system development","IGFBP5",4.25,"10"
"respiratory system development","LOX",4.25,"10"
"respiratory system development","PTK7",4.25,"10"
"respiratory system development","DAG1",4.25,"10"
"respiratory system development","EXT1",4.25,"10"
"respiratory system development","MAN2A1",4.25,"10"
"aging","CTSC",4.15,"10"
"aging","TIMP1",4.15,"10"
"aging","TFRC",4.15,"10"
"aging","MMP2",4.15,"10"
"aging","COL4A2",4.15,"10"
"aging","IGFBP2",4.15,"10"
"aging","IGFBP5",4.15,"10"
"aging","DAG1",4.15,"10"
"multi-multicellular organism process","TIMP1",4.14,"10"
"multi-multicellular organism process","SERPINE2",4.14,"10"
"multi-multicellular organism process","HEXB",4.14,"10"
"multi-multicellular organism process","MMP2",4.14,"10"
"multi-multicellular organism process","B4GALT1",4.14,"10"
"multi-multicellular organism process","IGFBP2",4.14,"10"
"multi-multicellular organism process","PAM",4.14,"10"
"multi-multicellular organism process","IGFBP5",4.14,"10"
"multi-multicellular organism process","IGFBP7",4.14,"10"
"connective tissue development","SERPINB7",4.09,"10"
"connective tissue development","TIMP1",4.09,"10"
"connective tissue development","COL1A1",4.09,"10"
"connective tissue development","CSF1",4.09,"10"
"connective tissue development","COL11A1",4.09,"10"
"connective tissue development","COL5A1",4.09,"10"
"connective tissue development","LOX",4.09,"10"
"connective tissue development","TGFBI",4.09,"10"
"connective tissue development","EXT1",4.09,"10"
"connective tissue development","SFRP2",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","COL1A2",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","CHRDL1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","ADAM9",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","HEXA",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","THBS1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","LOX",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","FSTL1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","NUMA1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","EXT1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","CD109",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","HTRA1",4.09,"10"
"transmembrane receptor protein serine/threonine kinase signaling pathway","SFRP2",4.09,"10"
"regulation of cell-substrate adhesion","PLAU",4.08,"10"
"regulation of cell-substrate adhesion","NRP1",4.08,"10"
"regulation of cell-substrate adhesion","CLASP1",4.08,"10"
"regulation of cell-substrate adhesion","EDIL3",4.08,"10"
"regulation of cell-substrate adhesion","COL1A1",4.08,"10"
"regulation of cell-substrate adhesion","THBS1",4.08,"10"
"regulation of cell-substrate adhesion","CSF1",4.08,"10"
"regulation of cell-substrate adhesion","SPOCK1",4.08,"10"
"regulation of cell-substrate adhesion","DAG1",4.08,"10"
"regulation of cellular response to growth factor stimulus","ROBO1",4,"10"
"regulation of cellular response to growth factor stimulus","CHRDL1",4,"10"
"regulation of cellular response to growth factor stimulus","NRP1",4,"10"
"regulation of cellular response to growth factor stimulus","DCN",4,"10"
"regulation of cellular response to growth factor stimulus","THBS1",4,"10"
"regulation of cellular response to growth factor stimulus","LOX",4,"10"
"regulation of cellular response to growth factor stimulus","FSTL1",4,"10"
"regulation of cellular response to growth factor stimulus","NUMA1",4,"10"
"regulation of cellular response to growth factor stimulus","CD109",4,"10"
"regulation of cellular response to growth factor stimulus","HTRA1",4,"10"
"regulation of cellular response to growth factor stimulus","SFRP2",4,"10"
"heparan sulfate proteoglycan biosynthetic process","HS3ST1",3.96,"10"
"heparan sulfate proteoglycan biosynthetic process","NDST1",3.96,"10"
"heparan sulfate proteoglycan biosynthetic process","EXT1",3.96,"10"
"heparan sulfate proteoglycan biosynthetic process","EXTL2",3.96,"10"
"myeloid leukocyte activation","ADAM9",3.86,"10"
"myeloid leukocyte activation","CTSC",3.86,"10"
"myeloid leukocyte activation","ADAM10",3.86,"10"
"myeloid leukocyte activation","APP",3.86,"10"
"myeloid leukocyte activation","THBS1",3.86,"10"
"myeloid leukocyte activation","CSF1",3.86,"10"
"myeloid leukocyte activation","CLU",3.86,"10"
"myeloid leukocyte activation","LBP",3.86,"10"
"myeloid leukocyte activation","GRN",3.86,"10"
"regulation of postsynaptic density organization","CDH2",3.85,"10"
"regulation of postsynaptic density organization","PTPRD",3.85,"10"
"regulation of postsynaptic density organization","IL1RAP",3.85,"10"
"positive regulation of chemotaxis","NRP1",3.76,"10"
"positive regulation of chemotaxis","ADAM10",3.76,"10"
"positive regulation of chemotaxis","THBS1",3.76,"10"
"positive regulation of chemotaxis","CSF1",3.76,"10"
"positive regulation of chemotaxis","SCG2",3.76,"10"
"positive regulation of chemotaxis","LBP",3.76,"10"
"positive regulation of chemotaxis","LGMN",3.76,"10"
"protein localization to postsynaptic membrane","ADAM10",3.75,"10"
"protein localization to postsynaptic membrane","GPC4",3.75,"10"
"protein localization to postsynaptic membrane","CLSTN1",3.75,"10"
"protein localization to postsynaptic membrane","DAG1",3.75,"10"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","CTSF",3.7,"10"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","CTSL",3.7,"10"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","THBS1",3.7,"10"
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","LGMN",3.7,"10"
"protein localization to postsynapse","ADAM10",3.7,"10"
"protein localization to postsynapse","GPC4",3.7,"10"
"protein localization to postsynapse","CLSTN1",3.7,"10"
"protein localization to postsynapse","DAG1",3.7,"10"
"positive regulation of cellular component biogenesis","THBS2",3.68,"10"
"positive regulation of cellular component biogenesis","NRP1",3.68,"10"
"positive regulation of cellular component biogenesis","CLASP1",3.68,"10"
"positive regulation of cellular component biogenesis","SRPX2",3.68,"10"
"positive regulation of cellular component biogenesis","CLSTN1",3.68,"10"
"positive regulation of cellular component biogenesis","SLITRK5",3.68,"10"
"positive regulation of cellular component biogenesis","TFRC",3.68,"10"
"positive regulation of cellular component biogenesis","CLU",3.68,"10"
"positive regulation of cellular component biogenesis","PTPRD",3.68,"10"
"positive regulation of cellular component biogenesis","DAG1",3.68,"10"
"positive regulation of cellular component biogenesis","NUMA1",3.68,"10"
"positive regulation of cellular component biogenesis","CLSTN2",3.68,"10"
"positive regulation of cellular component biogenesis","IL1RAP",3.68,"10"
"gliogenesis","LAMB1",3.66,"10"
"gliogenesis","APP",3.66,"10"
"gliogenesis","SERPINE2",3.66,"10"
"gliogenesis","HEXB",3.66,"10"
"gliogenesis","CSF1",3.66,"10"
"gliogenesis","CLU",3.66,"10"
"gliogenesis","CDH2",3.66,"10"
"gliogenesis","GRN",3.66,"10"
"gliogenesis","DAG1",3.66,"10"
"gliogenesis","CSPG4",3.66,"10"
"mesenchyme development","ROBO1",3.62,"10"
"mesenchyme development","NRP1",3.62,"10"
"mesenchyme development","CLASP1",3.62,"10"
"mesenchyme development","NRP2",3.62,"10"
"mesenchyme development","COL1A1",3.62,"10"
"mesenchyme development","CDH2",3.62,"10"
"mesenchyme development","PTK7",3.62,"10"
"mesenchyme development","DAG1",3.62,"10"
"mesenchyme development","EXT1",3.62,"10"
"mesenchyme development","SFRP2",3.62,"10"
"response to copper ion","PRNP",3.48,"10"
"response to copper ion","TFRC",3.48,"10"
"response to copper ion","APP",3.48,"10"
"response to copper ion","PAM",3.48,"10"
"regulation of plasminogen activation","PLAU",3.41,"10"
"regulation of plasminogen activation","SERPINE2",3.41,"10"
"regulation of plasminogen activation","THBS1",3.41,"10"
"regulation of receptor localization to synapse","ADAM10",3.41,"10"
"regulation of receptor localization to synapse","GPC4",3.41,"10"
"regulation of receptor localization to synapse","DAG1",3.41,"10"
"glycosaminoglycan biosynthetic process","HEXA",3.4,"10"
"glycosaminoglycan biosynthetic process","HS3ST1",3.4,"10"
"glycosaminoglycan biosynthetic process","NDST1",3.4,"10"
"glycosaminoglycan biosynthetic process","EXT1",3.4,"10"
"glycosaminoglycan biosynthetic process","GALNT5",3.4,"10"
"tissue homeostasis","CTSH",3.39,"10"
"tissue homeostasis","LIPA",3.39,"10"
"tissue homeostasis","TPP1",3.39,"10"
"tissue homeostasis","PIGR",3.39,"10"
"tissue homeostasis","RBP4",3.39,"10"
"tissue homeostasis","TFRC",3.39,"10"
"tissue homeostasis","CSF1",3.39,"10"
"tissue homeostasis","LAMC1",3.39,"10"
"tissue homeostasis","EXT1",3.39,"10"
"negative regulation of wound healing","PLAU",3.37,"10"
"negative regulation of wound healing","CLASP1",3.37,"10"
"negative regulation of wound healing","SERPINE2",3.37,"10"
"negative regulation of wound healing","THBS1",3.37,"10"
"negative regulation of wound healing","CD109",3.37,"10"
"cellular response to amino acid stimulus","COL1A2",3.32,"10"
"cellular response to amino acid stimulus","COL1A1",3.32,"10"
"cellular response to amino acid stimulus","COL5A2",3.32,"10"
"cellular response to amino acid stimulus","MMP2",3.32,"10"
"cellular response to amino acid stimulus","COL6A1",3.32,"10"
